Месяц,День,Время,Мероприятие,Место
Апрель,4 Пн,,,

Апрель,5 Вт,,,

Апрель,6 Ср,,,

Апрель,7 Чт,,,

Апрель,8 Пт,,,

Апрель,9 Сб,,,

Апрель,10 Вс,,,

Апрель,11 Пн,,,

Апрель,12 Вт,,,

Апрель,13 Ср,,,

Апрель,14 Чт,,,

Апрель,15 Пт,,,

Апрель,16 Сб,,,

Апрель,17 Вс,,,

Апрель,18 Пн,,,

Апрель,19 Вт,,,

Апрель,20 Ср,,,

Апрель,21 Чт,,,

Апрель,22 Пт,,,

Апрель,23 Сб,,,

Апрель,24 Вс,,,

Апрель,25 Пн,,,

Апрель,26 Вт,,,

Апрель,27 Ср,,,

Апрель,28 Чт,,,

Апрель,29 Пт,,,

Апрель,30 Сб,,,

Май,1 Вс,,,

Май,2 Пн,,,

Май,3 Вт,,,

Май,4 Ср,,,

Май,5 Чт,,,

Май,6 Пт,,,

Май,7 Сб,,,

Май,8 Вс,,,

Май,9 Пн,,,

Май,10 Вт,,,

Май,11 Ср,,,

Май,12 Чт,,,

Май,13 Пт,,,

Май,14 Сб,,,

Май,15 Вс,,,

Май,16 Пн,,,

Май,17 Вт,,,

Май,18 Ср,,,

Май,19 Чт,,,

Май,20 Пт,,,

Май,21 Сб,,,

Май,22 Вс,,,

Май,23 Пн,,,

Май,24 Вт,,,

Май,25 Ср,,,

Май,26 Чт,,,

Май,27 Пт,,,

Май,28 Сб,,,

Май,29 Вс,,,

Май,30 Пн,,,

Май,31 Вт,,,

Июнь,1 Ср,,,

Июнь,2 Чт,,,

Июнь,3 Пт,,,

Июнь,4 Сб,,,

Июнь,5 Вс,,,

Июнь,6 Пн,,,

Июнь,7 Вт,,,

Июнь,8 Ср,,,

Июнь,9 Чт,,,

Июнь,10 Пт,,,

Июнь,11 Сб,,,

Июнь,12 Вс,,,

Июнь,13 Пн,,,

Июнь,14 Вт,,,

Июнь,15 Ср,,,

Июнь,16 Чт,,,

Июнь,17 Пт,,,

Июнь,18 Сб,,,

Июнь,19 Вс,,,

Июнь,20 Пн,,,

Июнь,21 Вт,19.00,Е Нимаев юбилей Виктора Цоя,бкз

Июнь,21 Вт,19.00,Е Нимаев юбилей Виктора Цоя,бкз

Июнь,22 Ср,10.00 и 11.00,театр кукол,оз

Июнь,22 Ср,10.00 и 11.00,театр кукол,оз

Июнь,23 Чт,11.00,театр кукол,оз

Июнь,23 Чт,11.00,театр кукол,оз

Июнь,24 Пт,,,

Июнь,24 Пт,,,

Июнь,25 Сб,12.00,театр кукол,оз

Июнь,25 Сб,12.00,театр кукол,оз

Июнь,26 Вс,12.00,театр кукол,оз

Июнь,26 Вс,12.00,театр кукол,оз

Июнь,27 Пн,,,

Июнь,27 Пн,,,

Июнь,28 Вт,,"ансамбль погр управления Москва Заезд артистов на площадку - 12.00.
Начало выставки - 14.00.
Начало концерта - 15.00.",бкз

Июнь,28 Вт,,ансамбль погр управления Москва Заезд артистов на площадку - 12.00.Начало выставки - 14.00.Начало концерта - 15.00.,бкз

Июнь,29 Ср,,,

Июнь,29 Ср,,,

Июнь,30 Чт,,,

Июнь,30 Чт,,,

Июль,1 Пт,,,

Июль,2 Сб,12.00,театр кукол,оз

Июль,3 Вс,12.00,театр кукол,оз

Июль,4 Пн,,,

Июль,5 Вт,,,

Июль,6 Ср,,,

Июль,7 Чт,,комитет образования бал медалистов,бкз

Июль,8 Пт,,,

Июль,9 Сб,,,

Июль,10 Вс,,,

Июль,11 Пн,,,

Июль,12 Вт,,,

Июль,13 Ср,,,

Июль,14 Чт,,,

Июль,15 Пт,,,

Июль,16 Сб,,,

Июль,17 Вс,,,

Июль,18 Пн,,,

Июль,19 Вт,,,

Июль,20 Ср,,,

Июль,21 Чт,,,

Июль,22 Пт,,,

Июль,23 Сб,,,

Июль,24 Вс,,,

Июль,25 Пн,,,

Июль,26 Вт,,,

Июль,27 Ср,,,

Июль,28 Чт,,,

Июль,29 Пт,,,

Июль,30 Сб,,,

Июль,31 Вс,,,

Август,1 Пн,,,

Август,2 Вт,,,

Август,3 Ср,,,

Август,4 Чт,,,

Август,5 Пт,,,

Август,6 Сб,,,

Август,7 Вс,,,

Август,8 Пн,,,

Август,9 Вт,,,

Август,10 Ср,,,

Август,11 Чт,,,

Август,12 Пт,,,

Август,13 Сб,,,

Август,14 Вс,,,

Август,15 Пн,,,

Август,16 Вт,,,

Август,17 Ср,,,

Август,18 Чт,,,

Август,19 Пт,,,

Август,20 Сб,,косплей фестиваль 8924 382 2683,бкз

Август,21 Вс,,,

Август,22 Пн,,,

Август,23 Вт,,,

Август,24 Ср,,,

Август,25 Чт,,,

Август,26 Пт,,,

Август,27 Сб,,,

Август,28 Вс,,день шахтера шерловая форте,

Август,29 Пн,,,

Август,30 Вт,,,

Август,31 Ср,,,

Сентябрь,1 Чт,10.0 - 12.0,забгу,бкз

Сентябрь,1 Чт,,ЦИРК Бурятии,бкз

Сентябрь,2 Пт,,ЦИРК Бурятии,бкз

Сентябрь,3 Сб,,ЦИРК Бурятии,бкз

Сентябрь,4 Вс,,ЦИРК Бурятии,бкз

Сентябрь,5 Пн,,ЦИРК Бурятии,бкз

Сентябрь,6 Вт,18.30, Легенды Дальнего Востока ГРИА им.Будашкина,оз

Сентябрь,7 Ср,,,

Сентябрь,8 Чт,,,

Сентябрь,9 Пт,18.30,открытие сезона классика,БКЗ

Сентябрь,10 Сб,16.00,открытие сезона,оз

Сентябрь,11 Вс,16.00,открытие сезона эстрада,БКЗ

Сентябрь,12 Пн,,,

Сентябрь,13 Вт,,,

Сентябрь,14 Ср,,,

Сентябрь,15 Чт,,,

Сентябрь,16 Пт,,220 лет мин юст 89145287002 Анна Вениаминовна,бкз

Сентябрь,17 Сб,,пустовалов спящ красавица и жизель,бкз

Сентябрь,18 Вс,,100-лет роспотребнадзора,бкз

Сентябрь,18 Вс,19.00,пустовалов лебединное озеро,бкз

Сентябрь,19 Пн,,,

Сентябрь,20 Вт,,,

Сентябрь,21 Ср,,фестиваль лундстрема,

Сентябрь,22 Чт,,губернатор /шкулев/народная премия,бкз

Сентябрь,23 Пт,,фестиваль лундстрема,

Сентябрь,24 Сб,,фестиваль лундстрема,

Сентябрь,25 Вс,,фестиваль лундстрема,

Сентябрь,26 Пн,,фестиваль лундстрема,

Сентябрь,27 Вт,,фестиваль лундстрема,

Сентябрь,28 Ср,,фестиваль лундстрема,

Сентябрь,29 Чт,,фестиваль лундстрема,

Сентябрь,30 Пт,,фестиваль лундстрема,

Октябрь,1 Сб,,День музыки,

Октябрь,1 Сб,16.00,Анастасии Быковой  (орган) Филин 40.0+ гостиница,оз

Октябрь,2 Вс,16.00,Анастасии Быковой  (орган) Филин 40.0+ гостиница,оз

Октябрь,3 Пн,,здравствуй песня - пустовалов,бкз

Октябрь,4 Вт,18.30,тет- а - тет соляк,кз

Октябрь,5 Ср,,двое и море спектакль пустовалов,бкз

Октябрь,6 Чт,,не пара пустовалов,бкз

Октябрь,7 Пт,,день гражданской обороны Уваров,оз или бкз

Октябрь,8 Сб,,южин и гриа им будашкина,бкз

Октябрь,9 Вс,,пустовалов спектакль - женихи,бкз 15.00

Октябрь,9 Вс,,федоров  - анна егоян,бкз 19.00

Октябрь,10 Пн,,,

Октябрь,11 Вт,,,

Октябрь,12 Ср,18.30,"Сотто воче ""Бессонница""",оз

Октябрь,13 Чт,18.30,Киноконцерт  Е.Есина (орган),оз

Октябрь,14 Пт,18.30,джазовая пятница 100 летию Русского джаза Блюз тайм и солисты,ФБЗ

Октябрь,15 Сб,,"Пустовалов мюзикл ""Холодное сердце""",бкз 17.30

Октябрь,16 Вс,12.00,"анс . Тет-а-тет ""У Чайковского в гостях"" (в рамках проекта ""В гостях у сказки"")",кз

Октябрь,16 Вс,,ХВОРОСТОВСКИЙ СОВМЕСТНО С ОДОРА,БКЗ

Октябрь,17 Пн,,былков,бкз

Октябрь,18 Вт,,юнона и авось пустовалов,бкз

Октябрь,18 Вт,18.30,тет- а - тет соляк,кз

Октябрь,19 Ср,18.30,"""Метель"" Е.Есина орган",оз

Октябрь,20 Чт,17.00,"""Метель"" Е.Есина орган",оз

Октябрь,21 Пт,18.30,оркестр соляк,бкз

Октябрь,22 Сб,,училище искусств юбилейный концерт,бкз

Октябрь,23 Вс,16.00,Кемова орган, Баулина Флейта

Октябрь,24 Пн,18.30,Кемова орган, Баулина Флейта

Октябрь,25 Вт,18.30,"Ветер перемен ""Степка""  концерт-спектакль, памяти В.Шукшина",оз

Октябрь,26 Ср,18.30,Сделано в СССР  - сборный концерт все наши коллективы,бкз

Октябрь,27 Чт,19.00,МОСКОНЦЕРТ ХОЛЛ -  СТРАСТИ ПО МЕРКУЛЕ,БКЗ

Октябрь,28 Пт,18.30,джазовая пятница  Блюз тайм ,БКЗ

Октябрь,29 Сб,16.00,"фоте соляк ""ДРУГИЕ""",бкз

Октябрь,30 Вс,,опереттп пустовалов,бкз

Октябрь,30 Вс,12.00,"Академия маленьих гениев ""Русские сказания""(в рамках проекта ""В гостях у сказки"")",оз

Октябрь,31 Пн,,опереттп пустовалов,бкз

Ноябрь,1 Вт,,С-П театр классического балета А.Плоома по письму от 11.03.2022,бкз

Ноябрь,2 Ср,,последний герой спектакль пустовалов,бкз

Ноябрь,3 Чт,,алексей архиповский (балалайка),бкз

Ноябрь,4 Пт,,поющие гитары,

Ноябрь,5 Сб,16.00,"Сотто воче соляк ""Притяжение""",оз

Ноябрь,6 Вс,12.00,"гр Джем Ушастый патруль  (в рамках проекта ""В гостях у сказки"")",оз

Ноябрь,7 Пн,,,

Ноябрь,8 Вт,,,

Ноябрь,9 Ср,12.00/15.00,"анс . Тет-а-тет ""У Чайковского в гостях"" (в рамках проекта ""В гостях у сказки"")",кз

Ноябрь,10 Чт,,александр  михайлов пустовалов,бкз

Ноябрь,11 Пт,18.30,джазовая пятница гранат,оз

Ноябрь,11 Пт,,поющие гитары,БКЗ

Ноябрь,12 Сб,,ерохина,вся фил

Ноябрь,13 Вс,,ерохина,вся фил

Ноябрь,14 Пн,,,

Ноябрь,15 Вт,15.00, Легенды Дальнего Востока ГРИА им.Будашкина,оз

Ноябрь,16 Ср,,пустовалов солисты большого театра,бкз

Ноябрь,16 Ср,12.00/18.30, Легенды Дальнего Востока ГРИА им.Будашкина,оз

Ноябрь,17 Чт,,Хочц купит вашего мужа (Пустовалов),бкз

Ноябрь,18 Пт,,забайкалье юбилей,БКЗ

Ноябрь,19 Сб,,забайкалье юбилей,БКЗ

Ноябрь,20 Вс,12.00,"ГРИА им.Будашкина программа по сазкам А.С.Пушкина (в рамках проекта ""В гостях у сказки"")",оз

Ноябрь,21 Пн,,,  

Ноябрь,22 Вт,,,

Ноябрь,23 Ср,18.30,оркестр соляк,бкз

Ноябрь,24 Чт,,,

Ноябрь,25 Пт,,мельница пустовалов,бкз

Ноябрь,26 Сб,16.00,соляк гр.Джем,бкз

Ноябрь,27 Вс,16.00,концерт, посвященный Дню матери все наши колективы

Ноябрь,28 Пн,,,

Ноябрь,29 Вт,,василек пустовалов,

Ноябрь,30 Ср,,,

Декабрь,1 Чт,,,

Декабрь,2 Пт,18.30,джазовая пятница гранат и солисты,оз

Декабрь,3 Сб,18.30,Алекснй Балашов (гобой), М.Блажевич (орган)

Декабрь,4 Вс,15..0 и 18.30,Алекснй Балашов (гобой), М.Блажевич (орган)

Декабрь,5 Пн,,,

Декабрь,6 Вт,,,

Декабрь,7 Ср,,,

Декабрь,8 Чт,,,

Декабрь,9 Пт,18.30,Ветер перемен,оз

Декабрь,10 Сб,,,

Декабрь,11 Вс,12.00,"Блюз тайм ""Спокойной ночи, малыши""(в рамках проекта ""В гостях у сказки"")",оз

Декабрь,12 Пн,,,

Декабрь,13 Вт,,,

Декабрь,14 Ср,,,

Декабрь,15 Чт,,,

Декабрь,16 Пт,,,

Декабрь,17 Сб,,,

Декабрь,18 Вс,,,

Декабрь,19 Пн,,,

Декабрь,20 Вт,,,

Декабрь,21 Ср,,,

Декабрь,22 Чт,,,

Декабрь,23 Пт,,Театр кукол (весь день),кз

Декабрь,24 Сб,,Театр кукол (весь день),кз

Декабрь,25 Вс,,Театр кукол (весь день),кз

Декабрь,26 Пн,,Театр кукол (весь день),кз

Декабрь,27 Вт,,Театр кукол (весь день),кз

Декабрь,28 Ср,,Театр кукол (весь день),кз

Декабрь,29 Чт,,Театр кукол (весь день),кз

Декабрь,30 Пт,,Театр кукол (весь день),кз

Декабрь,31 Сб,,Театр кукол (весь день),кз

